item word word_untagged logFreq orthN length consistency AoA phonemeN
145 bathe bathe 0.209762 2 5 1 11 3
146 bathed bath 0.167332 1 6 1 7 4
147 bathes bathe 0.1 2 6 1 14 4
148 baths bath 0.189737 5 5 0.333333 9 4
149 bats bat 0.469042 19 4 1 5 4
150 bawl bawl 0.118322 5 4 1 14 3
151 bawled bawl 0.1 0 6 1 14 4
152 bawls bawl 0.05 4 5 1 14 4
153 bay bay 0.491935 20 3 0.933333 4 2
154 bays bay 0.214476 17 4 0.857143 7 3
155 be be 1 4 2 0.833333 1 2
156 beach beach 0.784857 7 5 1 3 3
157 bead bead 0.219089 14 4 0.428571 12 3
158 beads bead 0.53479 12 5 0.5 5 4
159 beak beak 0.309839 12 4 0.866667 5 3
160 beaks beak 0.240832 10 5 0.9 12 4
161 beam beam 0.519615 10 4 1 5 3
162 beams beam 0.363318 9 5 1 5 4
163 bean bean 0.419524 13 4 1 11 3
164 beans bean 0.630872 12 5 1 4 4
165 bear bear 1 20 4 0.277778 2 3
166 beard beard 0.4219 3 5 0.5 5 4
167 beards beard 0.154919 1 6 1 11 5
168 bears bear 0.6245 16 5 0.307692 4 4
169 beast beast 0.453872 4 5 0.8 5 4
170 beasts beast 0.374166 4 6 0.75 5 5
171 beat beat 1 23 4 0.842105 3 3
172 beat beat 1 23 4 0.842105 3 3
173 beats beat 0.648074 16 5 0.875 7 4
174 beau beau 0.07746 7 4 1 14 2
175 beaus beau 0.05 6 5 1 14 3
176 beck beck 0.05 8 4 1 14 3
177 becks beck 0.05 7 5 1 14 4
178 bed bed 1 17 3 1 2 3
179 beds bed 0.487852 7 4 1 5 4
180 bee bee 0.505964 14 3 1 7 2
181 beech beech 0.194936 4 5 1 7 3
182 beef beef 0.5 5 4 1 5 3
183 beefs beef 0.05 4 5 1 14 4
184 beep beep 0.063246 10 4 1 14 3
185 beeps beep 0.1 8 5 1 14 4
186 beer beer 0.219089 13 4 1 5 3
187 beers beer 0.05 10 5 1 14 4
188 bees bee 0.604979 13 4 1 5 3
189 beet beet 0.109545 11 4 1 14 3
190 beets beet 0.296648 5 5 1 11 4
191 beg beg 0.289828 14 3 1 5 3
192 begged beg 0.440454 0 6 1 5 4
193 begs beg 0.109545 8 4 1 14 4
194 beige beige 0.173205 0 5 1 14 3
195 belch belch 0.05 3 5 1 14 4
196 bell bell 0.801249 14 4 1 2 3
197 belle belle 0.07746 1 5 1 14 3
198 belles belle 0.05 0 6 1 14 4
199 bells bell 0.77846 12 5 1 5 4
200 belt belt 0.589915 12 4 1 4 4
201 belts belt 0.414729 8 5 1 6 5
202 ben ben 0.118322 20 3 1 2 3
203 bench bench 0.52915 6 5 1 4 4
204 bend bend 0.6 12 4 1 4 4
205 bends bend 0.382099 9 5 1 9 5
206 bent bend 0.69857 16 4 1 3 4
207 berg berg 0.05 0 4 1 14 4
208 bergs berg 0.05 0 5 1 14 5
209 berth berth 0.167332 1 5 1 14 4
210 berths berth 0.063246 1 6 1 14 5
211 best best 1 16 4 1 2 4
212 bet bet 0.560357 23 3 1 4 3
213 bet bet 0.560357 23 3 1 4 3
214 bets bet 0.089443 12 4 1 14 4
215 bey bey 0.05 12 3 0.875 14 2
216 bib bib 0.109545 11 3 1 14 3
217 bibs bib 0.05 7 4 1 14 4
218 bid bid 0.275681 16 3 1 7 3
219 bide bide 0.063246 12 4 1 14 3
220 bids bid 0.148324 9 4 1 14 4
221 bier bier 0.07746 3 4 1 14 3
222 biers bier 0.05 3 5 1 14 4
223 biff biff 0.05 3 4 1 14 3
224 big big 1 16 3 1 1 3
225 bight bight 0.05 7 5 1 14 3
226 bights bight 0.05 6 6 1 14 4
227 bike bike 0.458258 11 4 1 3 3
228 bikes bike 0.194936 6 5 1 8 4
229 bile bile 0.1 15 4 1 11 3
230 biles bile 0.05 10 5 1 14 4
231 bilge bilge 0.05 2 5 1 14 4
232 bilk bilk 0.05 6 4 1 14 4
233 bilked bilk 0.05 1 6 1 14 5
234 bilks bilk 0.05 6 5 1 14 5
235 bill bill 0.664831 16 4 1 2 3
236 bills bill 0.438178 16 5 1 5 4
237 bin bin 0.232379 16 3 1 12 3
238 bind bind 0.232379 12 4 0.888889 10 4
239 binds bind 0.089443 9 5 0.857143 12 5
240 bine bine 0.05 16 4 1 14 3
241 binge binge 0.05 4 5 1 14 4
242 bins bin 0.089443 14 4 1 11 4
243 birch birch 0.256905 2 5 1 7 4
244 bird bird 1 3 4 1 2 4
245 birds bird 1 3 5 1 2 5
246 birth birth 0.542218 5 5 1 5 4
247 births birth 0.1 4 6 1 10 5
248 bisque bisque 0.05 0 6 1 14 4
249 bit bite 1 19 3 1 2 3
250 bitch bitch 0.089443 8 5 1 12 4
251 bite bite 0.586515 11 4 0.928571 4 3
252 bits bit 0.626099 14 4 0.952381 4 4
253 biz biz 0.05 5 3 1 14 3
254 blab blab 0.05 3 4 1 14 4
255 blabbed blab 0.05 0 7 1 14 5
256 blabs blab 0.05 2 5 1 14 5
257 black black 1 3 5 1 2 4
258 blade blade 0.52345 4 5 1 5 4
259 blades blade 0.337639 3 6 1 6 5
260 blah blah 0.05 1 4 1 14 3
261 blame blame 0.397492 4 5 1 5 4
262 blamed blame 0.214476 3 6 1 9 5
263 blames blame 0.063246 4 6 1 14 5
264 blanch blanch 0.05 2 6 1 14 5
265 blanched blanch 0.05 0 8 1 14 6
266 bland bland 0.109545 6 5 0.923077 12 5
267 blank blank 0.714143 6 5 1 5 5
268 blare blare 0.1 5 5 0.9 14 4
269 blared blare 0.07746 4 6 1 14 5
270 blares blare 0.07746 4 6 0.941176 14 5
271 blast blast 0.384708 2 5 1 5 5
272 blasts blast 0.189737 2 6 1 12 6
273 blaze blaze 0.260768 5 5 1 9 4
274 blazed blaze 0.204939 2 6 1 9 5
275 bleach bleach 0.109545 3 6 1 12 4
276 bleached bleach 0.173205 0 8 1 12 5
277 bleak bleak 0.194936 2 5 0.866667 9 4
278 bleat bleat 0.126491 4 5 0.842105 14 4
279 bleats bleat 0.05 3 6 0.875 14 5
280 bled bleed 0.118322 3 4 1 12 4
281 bleed bleed 0.161245 3 5 1 11 4
282 bleeds bleed 0.063246 3 6 1 14 5
283 bleep bleep 0.05 2 5 1 14 4
284 bleeps bleep 0.05 2 6 1 14 5
285 blench blench 0.05 3 6 1 14 5
286 blend blend 0.591608 4 5 1 8 5
287 blends blend 0.357771 1 6 1 11 6
288 bless bless 0.268328 1 5 1 9 4
289 blessed bless 0.275681 0 7 1 7 5
290 blew blow 0.666333 5 4 0.730769 3 3
291 blight blight 0.126491 4 6 1 12 4
292 blights blight 0.05 2 7 1 14 5
293 blimp blimp 0.05 0 5 1 14 5
294 blimps blimp 0.05 0 6 1 14 6
295 blind blind 0.601664 4 5 0.888889 4 5
296 blink blink 0.178885 5 5 1 14 5
